iter	Passed	Remaining
0	53	53594
1	54	27131
2	54	18275
3	55	13831
4	56	11164
5	56	9385
6	57	8114
7	57	7158
8	58	6415
9	58	5818
10	59	5332
11	59	4927
12	60	4582
13	60	4292
14	61	4069
15	62	3853
16	63	3655
17	63	3477
18	64	3317
19	64	3176
20	65	3049
21	65	2931
22	66	2824
23	67	2727
24	67	2639
25	68	2554
26	68	2476
27	69	2403
28	69	2336
29	70	2273
30	70	2214
31	71	2159
32	72	2109
33	72	2064
34	73	2018
35	73	1975
36	74	1936
37	75	1901
38	75	1865
39	76	1829
40	76	1796
41	77	1764
42	78	1736
43	78	1707
44	79	1679
45	79	1652
46	80	1627
47	81	1607
48	81	1584
49	82	1561
50	82	1540
51	83	1519
52	83	1498
53	84	1479
54	85	1461
55	85	1442
56	86	1425
57	86	1408
58	87	1391
59	87	1375
60	88	1359
61	88	1344
62	89	1330
63	90	1316
64	90	1303
65	91	1290
66	91	1277
67	92	1265
68	92	1254
69	93	1241
70	94	1231
71	94	1221
72	95	1210
73	95	1200
74	96	1190
75	97	1180
76	97	1171
77	98	1161
78	98	1152
79	99	1142
80	99	1133
81	100	1124
82	100	1112
83	101	1105
84	101	1096
85	102	1088
86	102	1080
87	103	1073
88	104	1066
89	104	1058
90	105	1051
91	105	1044
92	106	1037
93	106	1030
94	107	1024
95	108	1019
96	108	1013
97	109	1007
98	109	1000
99	110	995
100	111	989
101	111	983
102	112	977
103	112	971
104	113	965
105	113	960
106	114	954
107	114	949
108	115	944
109	116	938
110	116	933
111	117	928
112	117	923
113	118	919
114	119	915
115	119	911
116	120	906
117	120	901
118	121	897
119	121	893
120	122	889
121	122	884
122	123	881
123	124	877
124	124	874
125	125	870
126	126	866
127	126	862
128	127	858
129	127	854
130	128	851
131	128	847
132	129	844
133	130	840
134	130	837
135	131	833
136	131	830
137	132	827
138	132	823
139	133	820
140	134	817
141	134	813
142	135	809
143	135	807
144	136	805
145	137	802
146	137	800
147	138	797
148	139	795
149	139	791
150	140	788
151	140	785
152	141	782
153	141	779
154	142	776
155	143	773
156	143	770
157	144	768
158	144	765
159	145	762
160	145	758
161	146	757
162	146	754
163	147	751
164	148	749
165	148	746
166	149	743
167	149	741
168	150	739
169	151	737
170	151	734
171	152	732
172	152	729
173	153	727
174	153	725
175	154	722
176	154	720
177	155	718
178	156	715
179	156	713
180	157	711
181	157	709
182	158	706
183	158	704
184	159	702
185	159	700
186	160	698
187	161	696
188	161	694
189	162	692
190	162	690
191	163	688
192	164	687
193	165	685
194	165	683
195	166	681
196	166	679
197	167	677
198	167	675
199	168	673
200	168	671
201	169	669
202	169	667
203	170	665
204	171	663
205	171	661
206	172	659
207	172	657
208	173	655
209	173	654
210	174	652
211	175	650
212	175	649
213	176	647
214	176	646
215	177	644
216	178	643
217	179	642
218	179	640
219	180	638
220	180	636
221	181	635
222	181	633
223	182	631
224	182	630
225	183	628
226	184	627
227	184	625
228	185	623
229	185	622
230	186	620
231	186	618
232	187	617
233	188	616
234	188	615
235	189	613
236	190	612
237	190	610
238	191	609
239	191	607
240	192	606
241	193	605
242	193	604
243	194	602
244	195	601
245	195	599
246	196	598
247	196	596
248	197	595
249	197	593
250	198	591
251	198	590
252	199	589
253	200	587
254	200	586
255	201	584
256	201	583
257	202	582
258	203	580
259	203	579
260	204	578
261	204	576
262	205	575
263	206	574
264	206	573
265	207	571
266	207	570
267	208	569
268	208	567
269	209	566
270	210	564
271	210	563
272	211	562
273	211	561
274	212	559
275	212	558
276	213	557
277	214	555
278	214	554
279	215	553
280	215	552
281	216	550
282	216	549
283	217	548
284	218	547
285	218	546
286	219	544
287	219	543
288	220	542
289	221	541
290	221	540
291	222	539
292	222	537
293	223	536
294	224	535
295	224	534
296	225	532
297	225	531
298	226	530
299	226	529
300	227	528
301	227	526
302	228	525
303	229	524
304	229	523
305	230	522
306	230	521
307	231	520
308	232	519
